,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
455,Standard_E2as_v5,attatlanta1,USD,0.0,0.0978,0.0978,ATT Atlanta 1,2022-12-01T00:00:00Z,9c09d64f-a2c9-5df7-a26c-d0f968a32ed0,E2as v5 Low Priority,DZH318Z093XK,DZH318Z093XK/01QQ,Virtual Machines Easv5 Series Windows,E2as v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
456,Standard_E2as_v5,attatlanta1,USD,0.0,0.0305,0.0305,ATT Atlanta 1,2022-12-01T00:00:00Z,9c09d64f-a2c9-5df7-a26c-d0f968a32ed0,E2as v5 Low Priority,DZH318Z093XK,DZH318Z093XK/01QQ,Virtual Machines Easv5 Series Windows,E2as v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
457,Standard_H16r,westeurope,USD,0.0,2.271,2.271,EU West,2017-10-01T00:00:00Z,9c0e03b3-585e-406d-97a6-f4ef3fe40c7b,H16r,DZH318Z0BQ4J,DZH318Z0BQ4J/0058,Virtual Machines H Series,H16r,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
458,Standard_M16s,australiacentral2,USD,0.0,0.3461,0.3461,AU Central 2,2020-02-01T00:00:00Z,9c0ef68f-b942-549a-8cd6-0232352222a1,M16s Spot,DZH318Z0BQ4W,DZH318Z0BQ4W/04PM,Virtual Machines MS Series,M16s Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
459,Standard_E96-24as_v5,attdallas1,USD,0.0,8.787,8.787,ATT Dallas 1,2022-12-01T00:00:00Z,9c0fa63b-19f0-5a3d-8386-f1288d4a1870,E96-24as v5,DZH318Z093WZ,DZH318Z093WZ/01R9,Virtual Machines Easv5 Series,E96-24as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
460,Standard_DS13-2_v2,attnewyork1,USD,0.0,0.12,0.12,ATT New York 1,2023-02-01T00:00:00Z,9c0fb096-e8b8-568c-8d71-47456406aa26,DS13 v2 Low Priority,DZH318Z0BQ4C,DZH318Z0BQ4C/07SV,Virtual Machines DSv2 Series,DS13-2 v2 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
461,Standard_E112ibds_v5,canadaeast,USD,0.0,3.6368,3.6368,CA East,2023-05-01T00:00:00Z,9c142069-82f6-5b97-89f3-eaf82c46ff40,E112ibds v5 Spot,DZH318Z09LQN,DZH318Z09LQN/00M1,Virtual Machines Ebdsv5 Series Windows,Standard_E112ibds_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
462,Standard_E112ibds_v5,canadaeast,USD,0.0,5.28544,5.28544,CA East,2023-05-01T00:00:00Z,9c142069-82f6-5b97-89f3-eaf82c46ff40,E112ibds v5 Spot,DZH318Z09LQN,DZH318Z09LQN/00M1,Virtual Machines Ebdsv5 Series Windows,Standard_E112ibds_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
463,Msv2MedMem Type1,koreacentral,USD,0.0,151628.0,151628.0,KR Central,2021-07-01T00:00:00Z,9c159ec1-4aa9-5860-a79c-b289a66b4e4a,Msv2MedMem Type1,DZH318Z0CTQD,DZH318Z0CTQD/00KG,MSv2 Series Dedicated Host,Msv2MedMem Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
464,Msv2MedMem Type1,koreacentral,USD,0.0,104695.0,104695.0,KR Central,2021-07-01T00:00:00Z,9c159ec1-4aa9-5860-a79c-b289a66b4e4a,Msv2MedMem Type1,DZH318Z0CTQD,DZH318Z0CTQD/00KF,MSv2 Series Dedicated Host,Msv2MedMem Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
465,Msv2MedMem Type1,koreacentral,USD,0.0,20.606,20.606,KR Central,2021-07-01T00:00:00Z,9c159ec1-4aa9-5860-a79c-b289a66b4e4a,Msv2MedMem Type1,DZH318Z0CTQD,DZH318Z0CTQD/00KC,MSv2 Series Dedicated Host,Msv2MedMem Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
466,Dsv3_Type3,westus3,USD,0.0,42292.0,42292.0,US West 3,2022-08-01T00:00:00Z,9c176b4f-af36-5d8f-976f-cec3543068ea,Dsv3 Type3,DZH318Z0C622,DZH318Z0C622/00RV,DSv3 Series Dedicated Host,Dsv3 Type3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
467,Dsv3_Type3,westus3,USD,0.0,21996.0,21996.0,US West 3,2022-08-01T00:00:00Z,9c176b4f-af36-5d8f-976f-cec3543068ea,Dsv3 Type3,DZH318Z0C622,DZH318Z0C622/00RR,DSv3 Series Dedicated Host,Dsv3 Type3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
468,Dsv3_Type3,westus3,USD,0.0,4.225,4.225,US West 3,2022-08-01T00:00:00Z,9c176b4f-af36-5d8f-976f-cec3543068ea,Dsv3 Type3,DZH318Z0C622,DZH318Z0C622/00L0,DSv3 Series Dedicated Host,Dsv3 Type3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
469,Standard_EC48as_cc_v5,southeastasia,USD,0.0,0.718,0.718,AP Southeast,2023-05-01T00:00:00Z,9c1bc205-54df-516b-a037-facb473c0c48,EC48ascc v5 Low Priority,DZH318Z0BDLC,DZH318Z0BDLC/003H,Virtual Machines ECasccv5 Series,Standard_EC48as_cc_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
470,Standard_E32-16as_v4,usgovtexas,USD,0.0,25166.0,25166.0,US Gov TX,2022-08-01T00:00:00Z,9c1c631a-bd95-5c65-9119-26b3387385ee,E32-16as_v4,DZH318Z0CM2D,DZH318Z0CM2D/05J9,Virtual Machines Easv4 Series,E32-16as_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
471,Standard_E32-16as_v4,usgovtexas,USD,0.0,13024.0,13024.0,US Gov TX,2022-08-01T00:00:00Z,9c1c631a-bd95-5c65-9119-26b3387385ee,E32-16as_v4,DZH318Z0CM2D,DZH318Z0CM2D/05JB,Virtual Machines Easv4 Series,E32-16as_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
472,Standard_E32-16as_v4,usgovtexas,USD,0.0,2.52,2.52,US Gov TX,2022-08-01T00:00:00Z,9c1c631a-bd95-5c65-9119-26b3387385ee,E32-16as_v4,DZH318Z0CM2D,DZH318Z0CM2D/03QX,Virtual Machines Easv4 Series,E32-16as_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
473,Standard_D48ls_v5,uaecentral,USD,0.0,5.503,5.503,AE Central,2023-04-01T00:00:00Z,9c20f784-2fb3-5bb4-af9b-6e2d679cbbe2,D48ls v5,DZH318Z08M9K,DZH318Z08M9K/00VM,Virtual Machines Dlsv5 Series Windows,D48ls v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
474,Standard_D48ls_v5,uaecentral,USD,0.0,3.295,3.295,AE Central,2023-04-01T00:00:00Z,9c20f784-2fb3-5bb4-af9b-6e2d679cbbe2,D48ls v5,DZH318Z08M9K,DZH318Z08M9K/00VM,Virtual Machines Dlsv5 Series Windows,D48ls v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
475,Standard_E96-24as_v4,switzerlandwest,USD,0.0,6.264,6.264,CH West,2022-12-01T00:00:00Z,9c226f77-e3f3-54e7-b283-1f27605a9c7a,E96-24as_v4 Low Priority,DZH318Z0CM92,DZH318Z0CM92/03H4,Virtual Machines Easv4 Series Windows,E96-24as_v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
