,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
2550,Standard_E32ads_v5,australiacentral2,USD,0.0,13148.0,13148.0,AU Central 2,2022-11-01T00:00:00Z,e5953dc7-3952-5d26-b7ef-0ecbd60b7c65,E32ads v5,DZH318Z093X0,DZH318Z093X0/06N4,,Virtual Machines Eadsv5 Series,E32ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
2551,Standard_E32ads_v5,australiacentral2,USD,0.0,2.544,2.544,AU Central 2,2022-11-01T00:00:00Z,e5953dc7-3952-5d26-b7ef-0ecbd60b7c65,E32ads v5,DZH318Z093X0,DZH318Z093X0/0510,,Virtual Machines Eadsv5 Series,E32ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2552,Standard_E96bds_v5,westus3,USD,0.0,1.603,1.603,US West 3,2022-09-01T00:00:00Z,e595f570-d6fa-54dc-bf50-d38f18003606,E96bds v5 Low Priority,DZH318Z09LQN,DZH318Z09LQN/000M,,Virtual Machines Ebdsv5 Series Windows,Standard_E96bds_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2553,Standard_E96bds_v5,westus3,USD,0.0,4.973,4.973,US West 3,2022-09-01T00:00:00Z,e595f570-d6fa-54dc-bf50-d38f18003606,E96bds v5 Low Priority,DZH318Z09LQN,DZH318Z09LQN/000M,,Virtual Machines Ebdsv5 Series Windows,Standard_E96bds_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2554,Standard_E96bs_v5,usgovarizona,USD,0.0,5.2224,5.2224,US Gov AZ,2022-09-01T00:00:00Z,e599498f-5624-581a-9d37-4caa4c8c2069,E96bs v5 Spot,DZH318Z09LR4,DZH318Z09LR4/012P,,Virtual Machines Ebsv5 Series Windows,Standard_E96bs_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2555,Standard_E96as_v5,australiacentral2,USD,0.0,2.6112,2.6112,AU Central 2,2022-11-01T00:00:00Z,e599bd93-a6b1-5823-8e10-79724411792a,E96as v5 Spot,DZH318Z093WZ,DZH318Z093WZ/05Z1,,Virtual Machines Easv5 Series,E96as v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2556,Standard_E64-16ads_v5,southafricanorth,USD,0.0,1.272,1.272,ZA North,2023-01-01T00:00:00Z,e599e246-0866-564e-b80f-318b8c21b096,E64-16ads v5 Spot,DZH318Z093WX,DZH318Z093WX/0374,,Virtual Machines Eadsv5 Series Windows,E64-16ads v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2557,Standard_E64-16ads_v5,southafricanorth,USD,0.0,0.5536,0.5536,ZA North,2023-03-01T00:00:00Z,e599e246-0866-564e-b80f-318b8c21b096,E64-16ads v5 Spot,DZH318Z093WX,DZH318Z093WX/0374,,Virtual Machines Eadsv5 Series Windows,E64-16ads v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2558,Standard_L8s_v3,westcentralus,USD,0.0,0.0838,0.0838,US West Central,2023-03-01T00:00:00Z,e59a7b51-e569-5bb8-a71f-1d4fb1c0b104,L8s v3 Spot,DZH318Z08NR7,DZH318Z08NR7/00KJ,,Virtual Machines Lsv3 Series,Standard_L8s_v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2559,Standard_NV16as_v4,attdallas1,USD,0.0,0.391,0.391,ATT Dallas 1,2022-04-01T00:00:00Z,e59a9b70-5aa8-56b5-819b-07eb90ad69ce,NV16as v4 Low Priority,DZH318Z0CGPM,DZH318Z0CGPM/00DP,,Virtual Machines NVasv4 Series Windows,NV16as v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
